"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"177","_Community management yields positive impacts for c","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"4"
"178","_Community management yields positive impacts for c","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"179","_Community management yields positive impacts for c","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"4"
"180","_Community management yields positive impacts for c","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"181","_Community management yields positive impacts for c","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",2,"4"
"182","_Community management yields positive impacts for c","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",2,"4"
"183","_Community management yields positive impacts for c","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"184","_Community management yields positive impacts for c","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"185","_Community management yields positive impacts for c","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"186","_Community management yields positive impacts for c","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"187","_Community management yields positive impacts for c","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"4"
"188","_Community management yields positive impacts for c","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
"189","_Community management yields positive impacts for c","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"4"
"190","_Community management yields positive impacts for c","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",3,"4"
"191","_Community management yields positive impacts for c","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",3,"4"
"192","_Community management yields positive impacts for c","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",3,"4"
"193","_Community management yields positive impacts for c","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"4"
"194","_Community management yields positive impacts for c","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"4"
"195","_Community management yields positive impacts for c","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"4"
"196","_Community management yields positive impacts for c","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"4"
"197","_Community management yields positive impacts for c","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",2,"R4",NA,"4"
"198","_Community management yields positive impacts for c","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"4"
"199","_Community-based management fails to halt declines","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"200","_Community-based management fails to halt declines","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"201","_Community-based management fails to halt declines","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"202","_Community-based management fails to halt declines","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"203","_Community-based management fails to halt declines","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"204","_Community-based management fails to halt declines","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"205","_Community-based management fails to halt declines","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"4"
"206","_Community-based management fails to halt declines","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"207","_Community-based management fails to halt declines","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",2,"4"
"208","_Community-based management fails to halt declines","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"209","_Community-based management fails to halt declines","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"4"
"210","_Community-based management fails to halt declines","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"211","_Community-based management fails to halt declines","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",2,"R4",2,"4"
"212","_Community-based management fails to halt declines","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"4"
"213","_Community-based management fails to halt declines","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"214","_Community-based management fails to halt declines","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"215","_Community-based management fails to halt declines","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",2,"4"
"216","_Community-based management fails to halt declines","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"217","_Community-based management fails to halt declines","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"218","_Community-based management fails to halt declines","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"219","_Community-based management fails to halt declines","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"220","_Community-based management fails to halt declines","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"4"
"221","_Community-based management fails to halt declines","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"222","_Community-based management fails to halt declines","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"223","_Community-based management fails to halt declines","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",2,"4"
"224","_Community-based management fails to halt declines","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",2,"4"
"225","_Community-based management fails to halt declines","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",2,"4"
"226","_Community-based management fails to halt declines","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"4"
"227","_Community-based management fails to halt declines","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
"228","_Community-based management fails to halt declines","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"4"
